# THE SZUBIN CIVIL REGISTERS OF 1874 EXIST, THEY ARE FILMED, AND THE FILM IS ONLINE.
# Found 20 September 2026, after Geneteka was proved structurally incapable of holding them.
#
# THE QUESTION THIS ANSWERS. Sally Leibholz married Friederike Schmul at SZUBIN ON 24 NOVEMBER 1874.
# Prussian civil registration began on 1 October 1874, so the marriage falls seven weeks inside it and
# must be an ordinary Standesamt entry. A marriage register of 1874 names THE PARENTS OF BOTH SPOUSES —
# the generation above the great-grandparents, which nobody in this family has ever had.
# Request 30 to Bydgoszcz asks for that certificate. IT MAY NOT HAVE TO BE ASKED FOR AT ALL.
field	value
*** WHAT THE POLISH STATE ARCHIVES HOLD ***	szukajwarchiwach, Archiwum Państwowe w Bydgoszczy, three fonds and not one: 6/1792/0 URZĄD STANU CYWILNEGO SZUBIN MIASTO, 1874-1935 — "akta urodzeń z lat 1874-1916, małżeństw i zgonów z lat 1874-1935; SKOROWIDZE urodzeń, małżeństw i zgonów z lat 1874-1878, 1894-1924" · 6/1795/0 SZUBIN WIEŚ I, 1874-1913 · 6/1796/0 SZUBIN WIEŚ II, 1874-1913 · and 6/3270/0 for 1936-1939.
*** AND THE WORD THAT MATTERS IS SKOROWIDZE ***	ALPHABETICAL INDEXES TO THE BIRTHS, MARRIAGES AND DEATHS, 1874 TO 1878. If a register of a thousand images carries its own index, the entry for LEIBHOLZ is findable in a handful of pages instead of by turning every leaf.
*** AND FAMILYSEARCH FILMED THEM, FROM BYDGOSZCZ ***	catalogue koha:402152, "Schubin (Posen). Standesamt I — Zivilstandsregister", source note "Mikrofilme aufgenommen von Manuskripten in ARCHIWUM PAŃSTWOWE W BYDGOSZCZY". Film note: "Geburten, Heiraten, Tote 1874-1876", microfilm 1417539, *** DIGITAL FILM 007998644 ***. And koha:402191, Standesamt II, "Geburten, Heiraten, Tote 1874-1875", microfilm 1417540, *** DIGITAL FILM 008016003 ***.
*** WITHDRAWN WITHIN THE HOUR: THEY ARE NOT VIEWABLE FROM HOME. THE FILMS ARE RESTRICTED. ***	THIS FILE FIRST SAID "both are online and neither is restricted — no permission wall, no affiliate-library restriction". THAT IS WRONG AND IT IS WITHDRAWN. The claim was made from the viewer reporting a page count — 1,121 images for 007998644 and 1,160 for 008016003 — WITHOUT LOOKING AT THE PAGE. When the browser pane was displayed, EVERY THUMBNAIL IN THE FILMSTRIP CARRIES A PADLOCK, and opening one gives FamilySearch's own notice: "IMAGE RESTRICTED. Image access is typically determined by local laws or the custodian who has the original document. To view these images do one of the following: ACCESS THE SITE AT A FAMILYSEARCH CENTER."
the lesson, and it is a general one	AN IMAGE COUNT IS NOT AN IMAGE. FamilySearch serves a film's LENGTH to everybody, signed in or not, restricted or not. The padlocks exist only in the rendered page. A film's availability cannot be read from its metadata and must be read from its filmstrip.
what is still true, and it is most of it	the registers EXIST, they are at AP BYDGOSZCZ in three named fonds, the town fond has SKOROWIDZE FOR 1874-1878, and the Mormons FILMED THEM FROM BYDGOSZCZ as digital films 007998644 and 008016003. All of that is unchanged. Only the viewing is blocked, and it is blocked by the custodian rather than by FamilySearch.
*** AND IT GIVES DAVID A SECOND ROUTE THAT COSTS NOTHING ***	the restriction is lifted INSIDE A FAMILYSEARCH CENTRE OR AFFILIATE LIBRARY, of which there are several in Brisbane, and access there is free. Somebody sitting at one of those terminals could open film 007998644, find the 1874 skorowidz, and read the marriage entry in an afternoon. THIS ARCHIVE CANNOT DO IT FROM HERE AND SAYS SO.
the one thing that makes it work harder than it should	NEITHER FILM IS IN FAMILYSEARCH'S FULL-TEXT INDEX. The service's own lookup — /service/search/fulltext/search/groupNumber?ids=007998644 — returns an empty id list, which is the site saying "this film has not been transcribed". So it cannot be searched for the surname and must be BROWSED.
which Standesamt, and this is not yet settled	Schubin town and the two rural districts had separate registrars. The Bydgoszcz fonds are MIASTO, WIEŚ I and WIEŚ II; FamilySearch's films are STANDESAMT I and STANDESAMT II. Jews in Schubin lived in the town, so Standesamt I is the likelier of the two — AND ITS CATALOGUE TITLE SAYS 1875-1876 WHILE ITS FILM NOTE SAYS 1874-1876. The title and the film disagree and the film is the thing that was photographed. BOTH FILMS HAVE TO BE CHECKED.
*** WHAT THIS DOES TO REQUEST 30 ***	THE LETTER IS NECESSARY AFTER ALL — and it is a much better letter. It now cites the three fond references, so a busy office does not have to find them. The sentence about the film making the letter unnecessary is withdrawn with the rest.
the work that remains, and it is NOT this archive's to do	find the 1874 marriage section in film 007998644, and failing that in 008016003. The 1874 volumes are thin — registration ran for THREE MONTHS of that year, so the marriage book should hold a few dozen entries and the skorowidz a single page. IT IS AN AFTERNOON'S WORK FOR SOMEBODY AT A TERMINAL INSIDE A FAMILYSEARCH CENTRE, AND IT IS IMPOSSIBLE FROM OUTSIDE ONE.
source	szukajwarchiwach.gov.pl, searched 20 September 2026 · FamilySearch catalogue items koha:402152 and koha:402191 and the image viewer for films 007998644 and 008016003, same day.
