# THE TREE AUDIT — every citation in the family tree checked against what it cites.
# 20 September 2026. 164 people, 59 cited facts, three citation hosts.
#
# WHY: opening four Arolsen documents with David's consent showed that TWO of the tree's Luwinskis
# were misattached records. That raised the obvious question — how many others? This is the answer.
field	value
A. AROLSEN — 7 CITED FACTS, AND SIX OF THEM ARE FALSE	*** ALL SEVEN CITE THE SAME DOCUMENT: DocID 130648701. *** That document is a registration card of the Berlin Office for the Registration of War Victims for ALFRED LUWINSKI, born 9.9.1917 — Polish, Catholic, a farm labourer, LEDIG (SINGLE), imprisoned at Sachsenhausen, died there 11 July 1942. It names no parents, no wife and no children.
SUPPORTED — 1 of 7	Alfred Luwinski, Birth, 9 September 1917. The card gives exactly that.
NOT SUPPORTED — 6 of 7	"Germany Luwinski", birth of son 9 Sep 1917 · "Unknown Luwinski", birth of son 9 Sep 1917 · Alfred Luwinski, BIRTH OF SON Manfred 14 Nov 1933 · Martha Schuenke, DEATH 1930 · Martha Schuenke, birth of son 14 Nov 1933 · Manfred Joachim Luwinski, BIRTH 14 Nov 1933. NONE OF THESE FACTS IS ON THE CARD AND NONE OF THESE PEOPLE IS NAMED ON IT.
B. FAMILYSEARCH — 46 CITED FACTS, AND TWO ARE WRONG	and the first pass of this audit said thirty-three, which was wrong and is corrected below.
exact match — 7	the record date and the fact date are the same day.
record 1 to 45 days after the event — 25	THESE ARE NOT ERRORS. They are Catholic parish registers: the record is the BAPTISM or the BURIAL and the tree correctly records the BIRTH or the DEATH. Stanilaus born 27 September 1810, baptised 14 October. Edmund born 15 November 1880, baptised the next day. Valentin died 12 July 1878, buried on the 15th. A crude date comparison flags every one of these as a mismatch, WHICH IS WHAT THE FIRST PASS OF THIS AUDIT DID.
no record date in the citation — 9	three are image citations of the form "image 727 of 2493" with no record date at all; three are "Entry for X" with no date; three would not parse. NOT CHECKABLE THIS WAY, and not counted either way.
*** GENUINE MISCITATIONS — 2, AND THEY ARE THE SAME ERROR TWICE ***	IVONE FIGUEIREDO, "Marriage to: 2 February 1948", and JOHANNES ANTONIE OELOFSE DE WITT, "Marriage to: 2 February 1948" — BOTH CITE ark 1:1:6ZHT-WSJM, whose own citation text reads "Entry for KURT LUWINSKI and Ivone De Witt, 19 JUN 1948". A hundred and thirty-eight days out, and the wrong husband entirely. THE DE WITT MARRIAGE CITES THE RECORD OF HIS WIFE'S NEXT MARRIAGE.
and the correct record is already in hand	found on 17 September and recorded in data/familysearch-sa-family.tsv: ark 1:1:6ZCM-J38T, "Entry for Johannes Antonie Oelofsede Witt and Yvonne Figueiredo, 2 Feb 1948", GERMISTON. Both citations should point there.
C. NAAIRS — 6 CITED FACTS, NONE VERIFIABLE	all six are national.archsrch.gov.za URLs with session tokens in them, which would not resolve even if the service were up. IT HAS NOT ANSWERED SINCE 16 SEPTEMBER. Recorded as unchecked rather than as sound.
D. INTERNAL IMPOSSIBILITIES — 3 IN 164 PEOPLE	found by arithmetic alone: death before birth, a parent under fourteen or over sixty, a mother dead before her child was born.
1 and 2	MARTHA SCHUENKE, died 1930, with sons MANFRED born 14 November 1933 and JOACHIM born 30 November 1940. Already known; the Arolsen card confirms the whole generation is wrong.
3 — AND THIS ONE IS NEW	JOHANNES ANTONIE OELOFSE DE WITT, born December 1923 at Johannesburg, has a SON OF THE SAME NAME born CIRCA 1923 AT PRETORIA. A father aged nought. BOTH DIE AT SASOLBURG. THEY ARE ONE MAN, SPLIT IN TWO.
and the duplicate is carrying a fact the original lacks	the "son", record 9500160, has DEATH 2 APRIL 1963 AT SASOLBURG. The "father", record 9500005, has a death place and no date. SO IVONE'S FIRST HUSBAND DIED AT SASOLBURG ON 2 APRIL 1963 — a date this archive did not have, hidden inside a duplicate.
what else the split created	a phantom spouse, "Unknown de Witt" (9500161), who exists only to be the duplicate's mother, and a "half sister" relationship for Delina de Witt that is an artefact of the split rather than a fact about anybody.
THE SCORE, PLAINLY	59 cited facts. ONE HOST'S CITATIONS ARE 6/7 FALSE. ANOTHER'S ARE 44/46 SOUND. THE THIRD CANNOT BE CHECKED AT ALL. Three internal impossibilities in 164 people, of which one yields a new date of death.
AND THE RULE THAT COMES OUT OF IT	the FamilySearch citations are good because each one carries the RECORD'S OWN DESCRIPTION in its text — "Entry for X and Y, 19 Jun 1948" — so a wrong one can be caught without opening anything. THE AROLSEN CITATIONS ARE BARE URLs. There is nothing in them to check against, which is exactly why six wrong ones survived. A CITATION THAT CANNOT BE FALSIFIED FROM ITS OWN TEXT IS NOT MUCH OF A CITATION.
source	data/myheritage-tree9.json, the private harvest, audited 20 September 2026; Arolsen DocID 130648701 read the same day with consent; FamilySearch citation strings compared to their own fact dates.
